Names,PP_R1,PP_R2,PP_R3,Mean,Std. Dev.
968,966.6,1023.0,1082.7,1024.1,58.1
969,1126.1,1088.1,1205.3,1139.8,59.8
970,1102.1,1107.0,1150.0,1119.7,26.4
971,1050.9,1118.7,1101.0,1090.2,35.2
972,1006.0,1039.5,1171.9,1072.5,87.7
973,1038.5,1047.0,1176.7,1087.4,77.5
974,1056.7,1164.4,1162.2,1127.8,61.5
975,981.7,1083.9,1106.7,1057.5,66.6
976,1061.8,1087.1,1115.8,1088.2,27.0
977,1097.4,1076.0,1187.7,1120.3,59.3
978,1014.7,1124.5,1169.2,1102.8,79.5
979,1107.3,1051.7,1137.8,1099.0,43.7
980,1075.8,1116.4,1282.4,1158.2,109.5
981,1088.6,1143.4,1177.8,1136.6,45.0
982,1036.4,1134.2,1203.0,1124.5,83.7
983,1109.3,1093.5,1128.0,1110.3,17.2
984,990.7,1131.9,1240.0,1120.9,125.0
985,1039.4,1111.4,1202.5,1117.8,81.7
986,1043.8,1102.5,1217.6,1121.3,88.4
987,1039.8,1144.4,1249.1,1144.4,104.7
988,1019.4,1128.8,1226.1,1124.8,103.4
989,1078.0,1037.9,1165.9,1093.9,65.5
990,1100.2,1194.2,1305.9,1200.1,103.0
991,1057.2,1105.5,1125.5,1096.1,35.1
992,1156.2,1161.2,1183.7,1167.1,14.7
993,1099.9,1151.9,1278.8,1176.9,92.0
994,1154.3,1192.5,1174.7,1173.8,19.1
995,1173.8,1050.8,1305.3,1176.6,127.3
996,1102.5,1121.7,1335.9,1186.7,129.6
997,1088.8,1201.5,1195.6,1162.0,63.4
998,1079.9,1149.1,1235.9,1155.0,78.1
999,1058.7,1099.7,1189.7,1116.0,67.0
1000,1003.7,1057.9,1349.4,1137.0,185.9
1001,1197.8,1088.9,1141.0,1142.6,54.5
1002,1071.8,1211.9,1275.1,1186.2,104.1
1003,997.3,1113.0,1323.6,1144.7,165.5
1004,1167.1,1304.8,1258.1,1243.3,70.0
1005,1138.2,1135.8,1239.8,1171.3,59.4
1006,1102.6,1105.6,1327.4,1178.5,128.9
1007,1155.1,1202.6,1253.4,1203.7,49.2
1008,1121.4,1196.6,1349.5,1222.5,116.2
1009,1114.5,1170.8,1266.5,1184.0,76.8
1010,1080.2,1188.2,1324.8,1197.7,122.6
1011,1184.9,1087.1,1332.5,1201.5,123.5
1012,1117.6,1141.5,1286.0,1181.7,91.1
1013,1140.3,1096.4,1225.8,1154.2,65.8
1014,1250.1,1094.7,1362.8,1235.8,134.6
1015,1072.9,1119.2,1299.8,1164.0,119.9
1016,1108.1,1171.5,1217.5,1165.7,54.9
1017,1085.4,1332.8,1303.2,1240.5,135.1
1018,1154.5,1114.7,1240.2,1169.8,64.1
1019,1130.2,1171.4,1378.1,1226.5,132.8
1020,1195.4,1161.0,1227.4,1194.6,33.2
1021,1112.4,1062.9,1368.5,1181.3,164.0
1022,1136.3,1240.3,1181.2,1185.9,52.2
1023,1093.9,1106.5,1289.6,1163.3,109.6
1024,1055.3,1183.6,1469.4,1236.1,212.0
1025,1144.6,1222.8,1378.0,1248.5,118.8
1026,1137.1,1177.4,1414.0,1242.8,149.6
1027,1246.2,1148.9,1210.3,1201.8,49.2
1028,1123.0,1274.2,1424.1,1273.8,150.5
1029,1052.2,1269.5,1356.3,1226.0,156.6
1030,1159.3,1168.3,1336.7,1221.4,99.9
1031,1224.8,1226.7,1437.1,1296.2,122.0
1032,1170.2,1165.6,1344.8,1226.9,102.2
1033,1183.6,1163.7,1363.1,1236.8,109.8
1034,1169.7,1177.9,1514.3,1287.3,196.6
1035,1165.3,1265.8,1231.6,1220.9,51.1
1036,1183.3,1175.3,1391.7,1250.1,122.7
1037,1216.6,1125.2,1461.1,1267.6,173.7
1038,1097.1,1147.8,1285.8,1176.9,97.7
1039,1136.8,1194.3,1537.7,1289.6,216.8
1040,1200.0,1222.3,1370.2,1264.2,92.5
1041,1137.5,1249.2,1254.7,1213.8,66.1
1042,1296.5,1176.7,1440.1,1304.5,131.9
1043,1073.1,1282.3,1285.1,1213.5,121.6
1044,1225.6,1139.4,1296.4,1220.5,78.7
1045,1091.2,1146.4,1324.4,1187.3,121.9
1046,1282.3,1204.9,1405.3,1297.5,101.0
1047,1139.7,1169.5,1356.3,1221.8,117.4
1048,1200.8,1259.2,1418.4,1292.8,112.6
1049,1362.5,1145.1,1442.0,1316.5,153.7
1050,1207.3,1214.2,1380.6,1267.3,98.2
1051,1260.0,1172.9,1355.1,1262.7,91.1
1052,1171.0,1131.2,1379.2,1227.1,133.2
1053,1138.5,1133.8,1504.4,1258.9,212.6
1054,1203.8,1200.5,1493.9,1299.4,168.4
1055,1208.6,1133.4,1277.0,1206.3,71.8
1056,1106.3,1341.5,1368.2,1272.0,144.1
1057,1151.9,1079.7,1456.2,1229.3,199.8
1058,1317.5,1137.9,1361.3,1272.2,118.4
1059,1276.2,1224.9,1422.6,1307.9,102.6
1060,1083.6,1182.3,1429.1,1231.7,178.0
