Time after Ignition,Nylon_R4,Nylon_R2,Nylon_R3,Mean,Std. Dev.
129.25,137.0,434.4,521.4,364.2,201.6
129.5,139.2,437.5,511.6,362.8,197.1
129.75,142.4,438.7,527.5,369.5,201.6
130.0,144.4,443.2,542.8,376.8,207.3
130.25,143.4,436.6,539.2,373.1,205.4
130.5,145.4,443.2,528.1,372.2,201.0
130.75,150.7,444.7,531.3,375.6,199.5
131.0,153.2,449.5,525.6,376.1,196.8
131.25,154.9,434.6,536.8,375.4,197.7
131.5,158.1,441.6,526.2,375.3,192.8
131.75,158.0,459.4,540.3,385.9,201.5
132.0,158.7,448.9,539.2,382.3,198.8
132.25,163.0,458.1,535.0,385.3,196.4
132.5,162.5,450.4,542.0,385.0,198.0
132.75,163.9,455.7,551.6,390.4,202.0
133.0,166.1,463.9,549.8,393.3,201.4
133.25,168.2,469.0,546.2,394.5,199.7
133.5,170.2,463.4,537.8,390.5,194.3
133.75,172.1,477.0,535.5,394.8,195.1
134.0,173.8,467.1,546.4,395.8,196.3
134.25,176.0,469.7,566.2,404.0,203.3
134.5,177.3,474.3,552.4,401.3,197.9
134.75,179.9,485.6,540.7,402.1,194.3
135.0,181.7,488.6,556.2,408.9,199.6
135.25,181.9,465.7,564.1,403.9,198.5
135.5,184.4,500.6,559.7,414.9,201.8
135.75,183.8,493.4,565.4,414.2,202.8
136.0,184.4,490.8,536.7,404.0,191.5
136.25,189.7,491.5,533.0,404.7,187.4
136.5,192.1,492.7,557.8,414.2,195.1
136.75,188.9,493.0,559.3,413.8,197.5
137.0,192.3,503.0,561.3,418.8,198.4
137.25,190.6,484.5,553.3,409.5,192.6
137.5,192.2,499.4,560.0,417.2,197.2
137.75,197.8,500.1,547.7,415.2,189.8
138.0,195.9,497.9,560.7,418.2,195.1
138.25,193.7,498.5,576.7,423.0,202.3
138.5,198.4,502.7,563.5,421.5,195.6
138.75,200.1,519.8,568.9,429.6,200.2
139.0,199.2,510.4,574.8,428.1,200.8
139.25,201.7,516.2,580.4,432.7,202.7
139.5,202.4,518.7,565.2,428.7,197.4
139.75,205.1,510.7,569.3,428.4,195.6
140.0,203.7,538.7,593.0,445.2,210.8
140.25,205.7,506.5,575.6,429.2,196.7
140.5,207.3,509.8,565.1,427.4,192.6
140.75,206.6,504.2,582.3,431.0,198.2
141.0,207.2,521.4,574.6,434.4,198.5
141.25,214.6,512.9,563.3,430.2,188.5
141.5,211.7,524.4,566.4,434.2,193.8
141.75,215.7,529.7,574.5,440.0,195.5
142.0,212.8,520.1,586.8,439.9,199.5
142.25,213.2,514.3,597.4,441.6,202.2
