Time after Ignition,Eucalyptus_Flooring_R1,Eucalyptus_Flooring_R2,Eucalyptus_Flooring_R3,Mean,Std. Dev.
2319.5,35.65391774647772,,,35.65391774647772,
2319.75,36.14039494236804,,,36.14039494236804,
2320.0,36.34909713111969,,,36.34909713111969,
2320.25,36.37204926037264,,,36.37204926037264,
2320.5,36.3781861028946,,,36.3781861028946,
2320.75,36.03662163870693,,,36.03662163870693,
2321.0,35.89648490972308,,,35.89648490972308,
2321.25,36.028243521063025,,,36.028243521063025,
2321.5,36.29424627215327,,,36.29424627215327,
2321.75,36.20690995272647,,,36.20690995272647,
2322.0,35.596293318978525,,,35.596293318978525,
2322.25,35.55593369562744,,,35.55593369562744,
2322.5,36.38780015708627,,,36.38780015708627,
2322.75,36.148591576560555,,,36.148591576560555,
2323.0,36.19486981489863,,,36.19486981489863,
2323.25,36.52971201520655,,,36.52971201520655,
2323.5,36.75275540868403,,,36.75275540868403,
2323.75,36.62082226685333,,,36.62082226685333,
2324.0,36.433435388785504,,,36.433435388785504,
2324.25,37.536109607640554,,,37.536109607640554,
2324.5,36.47201530644427,,,36.47201530644427,
2324.75,37.40413922502317,,,37.40413922502317,
2325.0,36.65481773309057,,,36.65481773309057,
2325.25,36.65557286871558,,,36.65557286871558,
2325.5,36.54824833169343,,,36.54824833169343,
2325.75,36.550429618577404,,,36.550429618577404,
2326.0,37.00817358984684,,,37.00817358984684,
2326.25,36.416506672495615,,,36.416506672495615,
2326.5,36.83685949617984,,,36.83685949617984,
2326.75,36.37747584556361,,,36.37747584556361,
2327.0,36.30804576068744,,,36.30804576068744,
2327.25,36.481803940123314,,,36.481803940123314,
2327.5,36.57825766635303,,,36.57825766635303,
2327.75,36.76897216483853,,,36.76897216483853,
2328.0,36.9113911544625,,,36.9113911544625,
2328.25,36.69252769185463,,,36.69252769185463,
2328.5,37.24906195358768,,,37.24906195358768,
2328.75,36.177494879617825,,,36.177494879617825,
2329.0,36.47899436966261,,,36.47899436966261,
2329.25,36.74526486985202,,,36.74526486985202,
2329.5,36.118937286647515,,,36.118937286647515,
2329.75,36.21099426271921,,,36.21099426271921,
2330.0,36.48334588766646,,,36.48334588766646,
2330.25,36.45221175911419,,,36.45221175911419,
2330.5,36.40622729676523,,,36.40622729676523,
2330.75,36.141270646563946,,,36.141270646563946,
2331.0,36.18253030061852,,,36.18253030061852,
2331.25,36.1813337575311,,,36.1813337575311,
2331.5,36.31988295038461,,,36.31988295038461,
2331.75,36.139204575330695,,,36.139204575330695,
2332.0,36.06552002055779,,,36.06552002055779,
2332.25,36.811903453173315,,,36.811903453173315,
2332.5,36.4825309351461,,,36.4825309351461,
2332.75,36.46907799339282,,,36.46907799339282,
2333.0,36.271890996118884,,,36.271890996118884,
2333.25,36.529727363492654,,,36.529727363492654,
2333.5,36.79415183913428,,,36.79415183913428,
2333.75,36.609744551236844,,,36.609744551236844,
2334.0,36.67196461909163,,,36.67196461909163,
2334.25,37.01212167135847,,,37.01212167135847,
2334.5,37.4291578270502,,,37.4291578270502,
2334.75,37.1548710184746,,,37.1548710184746,
2335.0,37.04781081943646,,,37.04781081943646,
2335.25,37.52815465288561,,,37.52815465288561,
2335.5,37.449016235569246,,,37.449016235569246,
2335.75,37.422909473326186,,,37.422909473326186,
2336.0,37.817950108846276,,,37.817950108846276,
2336.25,37.55254194870012,,,37.55254194870012,
2336.5,37.9086175636415,,,37.9086175636415,
2336.75,37.60564274644422,,,37.60564274644422,
2337.0,37.541220940024346,,,37.541220940024346,
2337.25,37.34739514270677,,,37.34739514270677,
2337.5,37.64171303431372,,,37.64171303431372,
2337.75,37.880358068717214,,,37.880358068717214,
2338.0,38.306344278018614,,,38.306344278018614,
2338.25,37.509261131799626,,,37.509261131799626,
2338.5,37.826872961175134,,,37.826872961175134,
2338.75,38.477407230898294,,,38.477407230898294,
2339.0,38.09780645357109,,,38.09780645357109,
2339.25,37.64101128084274,,,37.64101128084274,
2339.5,37.37204677226987,,,37.37204677226987,
2339.75,37.94398976840876,,,37.94398976840876,
2340.0,38.25746100636535,,,38.25746100636535,
2340.25,37.84561945104334,,,37.84561945104334,
2340.5,37.894290052945195,,,37.894290052945195,
2340.75,37.49880665513575,,,37.49880665513575,
2341.0,37.38697203635474,,,37.38697203635474,
2341.25,37.98266628298576,,,37.98266628298576,
2341.5,37.720299938937394,,,37.720299938937394,
2341.75,37.7351415293168,,,37.7351415293168,
2342.0,36.980316776889325,,,36.980316776889325,
2342.25,37.72222893264792,,,37.72222893264792,
2342.5,37.125290775562874,,,37.125290775562874,
2342.75,36.78187386827652,,,36.78187386827652,
2343.0,37.027390857728335,,,37.027390857728335,
2343.25,37.31307006610079,,,37.31307006610079,
2343.5,37.01157466588324,,,37.01157466588324,
2343.75,36.764445755786326,,,36.764445755786326,
2344.0,36.97229931724033,,,36.97229931724033,
2344.25,37.088326152872604,,,37.088326152872604,
2344.5,37.52307726732736,,,37.52307726732736,
2344.75,37.29880455439233,,,37.29880455439233,
2345.0,36.771472279745005,,,36.771472279745005,
2345.25,36.8685371096058,,,36.8685371096058,
2345.5,36.61786227284768,,,36.61786227284768,
2345.75,36.5645331959105,,,36.5645331959105,
2346.0,37.171706673054295,,,37.171706673054295,
2346.25,36.45946183723173,,,36.45946183723173,
2346.5,36.60174145155763,,,36.60174145155763,
2346.75,36.88672086697685,,,36.88672086697685,
2347.0,36.569017986153476,,,36.569017986153476,
2347.25,36.298419141108674,,,36.298419141108674,
2347.5,36.347984424867086,,,36.347984424867086,
2347.75,35.689802754698995,,,35.689802754698995,
2348.0,36.78527109745697,,,36.78527109745697,
2348.25,36.612526320793,,,36.612526320793,
2348.5,36.75037151241789,,,36.75037151241789,
2348.75,35.86726053755331,,,35.86726053755331,
2349.0,36.08076949986382,,,36.08076949986382,
